repo,pr_number,SubmitCommit,OpenPR,Revise,ReviewRequested,ReviewRequestRemoved,IssueComment,ReviewComment,ReviewApproved,ReviewRejected,ClosePR,MergePR,DeleteBranch,Referenced,SubmitCommit_OpenPR,OpenPR_IssueComment,IssueComment_ClosePR,ClosePR_DeleteBranch,OpenPR_ClosePR,SubmitCommit_SubmitCommit,OpenPR_Revise,Revise_IssueComment,IssueComment_ReviewRejected,ReviewRejected_Revise,Revise_ClosePR,OpenPR_ReviewRequested,ReviewRequested_Revise,IssueComment_IssueComment,ClosePR_Referenced,ReviewRequested_IssueComment,IssueComment_Referenced,Referenced_ClosePR,Revise_Revise,IssueComment_Revise,Revise_ReviewComment,ReviewComment_ClosePR,OpenPR_ReviewComment,ReviewComment_Referenced,DeleteBranch_Referenced,Referenced_Referenced,OpenPR_ReviewRejected,ReviewRejected_ClosePR,ReviewRequested_ReviewRequested,ReviewRequested_ReviewComment,ReviewComment_Revise,Revise_ReviewRejected,ReviewRejected_IssueComment,IssueComment_ReviewRequested,ReviewRequested_ReviewApproved,ReviewApproved_Revise,Revise_ReviewRequested,ReviewApproved_ReviewApproved,ReviewApproved_IssueComment,ReviewRequested_ReviewRejected,ReviewRequested_ReviewRequestRemoved,ReviewRequestRemoved_IssueComment,ReviewRequested_Referenced,Referenced_IssueComment,Referenced_ReviewRequested,IssueComment_ReviewRequestRemoved,IssueComment_ReviewComment,ReviewComment_IssueComment,ClosePR_Revise,OpenPR_ReviewApproved,ReviewRequestRemoved_ReviewRequestRemoved,ReviewRequestRemoved_Revise,IssueComment_ReviewApproved,Referenced_DeleteBranch,ReviewRejected_ReviewComment,ReviewComment_ReviewRequested,label
dubbo,10143,1,1,0,0,0,1,0,0,0,1,0,1,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dubbo,10285,1,1,0,0,0,0,0,0,0,1,0,1,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dubbo,7398,2,1,0,0,0,0,0,0,0,1,0,1,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dubbo,7939,1,1,0,0,0,1,0,0,0,1,0,1,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
gpac,1760,0,1,2,0,0,1,0,0,1,1,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
gpac,1927,0,1,1,1,0,1,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
hadoop,2635,1,1,0,0,0,1,0,0,0,1,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
hadoop,3002,1,1,0,0,0,2,0,0,0,1,0,1,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
hadoop,3626,1,1,0,0,0,0,0,0,0,1,0,1,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
hadoop,4015,3,1,0,0,0,2,0,0,0,1,0,0,1,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
