case_id,variant,variant_id
faker#1001,"('SubmitCommit', 'OpenPR', 'Revise', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'ClosePR', 'DeleteBranch')",1
faker#1026,"('OpenPR', 'ReviewRequested', 'ReviewComment', 'ReviewComment', 'IssueComment', 'ReviewRejected', 'ReviewRequested', 'Revise', 'IssueComment', 'Revise', 'Revise', 'Revise', 'IssueComment', 'ReviewComment', 'IssueComment', 'Revise', 'ReviewComment', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'ReviewComment', 'IssueComment', 'IssueComment', 'IssueComment', 'ClosePR')",2
faker#1066,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'ReviewRejected', 'ReviewRequested', 'IssueComment', 'IssueComment', 'Revise', 'ReviewComment', 'IssueComment', 'ReviewApproved', 'ReviewApproved', 'ReviewRejected', 'IssueComment', 'IssueComment', 'ClosePR')",3
faker#11,"('SubmitCommit', 'OpenPR', 'Revise', 'ReviewApproved', 'IssueComment', 'IssueComment', 'ClosePR')",4
faker#114,"('SubmitCommit', 'OpenPR', 'Revise', 'IssueComment', 'ClosePR', 'DeleteBranch')",5
faker#115,"('OpenPR', 'IssueComment', 'IssueComment', 'ReviewRequested', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'IssueComment', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'IssueComment', 'IssueComment', 'Revise', 'ClosePR', 'DeleteBranch')",6
faker#117,"('SubmitCommit', 'SubmitCommit', 'SubmitCommit', 'SubmitCommit', 'SubmitCommit', 'OpenPR', 'IssueComment', 'IssueComment', 'ReviewRequested', 'ClosePR')",7
faker#118,"('SubmitCommit', 'SubmitCommit', 'SubmitCommit', 'SubmitCommit', 'SubmitCommit', 'SubmitCommit', 'OpenPR', 'ReviewApproved', 'ReviewRejected', 'IssueComment', 'ReviewRejected', 'ClosePR')",8
faker#120,"('SubmitCommit', 'OpenPR', 'IssueComment', 'ReviewApproved', 'ClosePR')",9
faker#1216,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'IssueComment', 'ReviewComment', 'IssueComment', 'IssueComment', 'Revise', 'Revise', 'ReviewRejected', 'ReviewRequested', 'ReviewRequestRemoved', 'ReviewRequested', 'ReviewRequestRemoved', 'IssueComment', 'IssueComment', 'IssueComment', 'Revise', 'IssueComment', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'IssueComment', 'ReviewComment', 'Revise', 'ClosePR')",10
faker#1218,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'IssueComment', 'ReviewRequested', 'ReviewApproved', 'ReviewComment', 'ReviewRejected', 'ReviewRequested', 'ReviewComment', 'ReviewRejected', 'IssueComment', 'ClosePR')",11
faker#1305,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'ReviewApproved', 'ReviewApproved', 'ReviewApproved', 'ReviewRequested', 'Revise', 'IssueComment', 'IssueComment', 'ClosePR')",12
