case_id,variant,variant_id
faker#1007,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'IssueComment', 'ReviewApproved', 'ReviewRequested', 'ReviewApproved', 'ReviewApproved', 'MergePR', 'Referenced')",1
faker#1013,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'IssueComment', 'IssueComment', 'IssueComment', 'Revise', 'IssueComment', 'Revise', 'Revise', 'ReviewApproved', 'ReviewApproved', 'MergePR', 'Referenced')",2
faker#102,"('OpenPR', 'ReviewRequested', 'Revise', 'ReviewRejected', 'Revise', 'ReviewApproved', 'Revise', 'Revise', 'ReviewApproved', 'MergePR', 'Referenced', 'Referenced')",3
faker#1023,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'IssueComment', 'Revise', 'IssueComment', 'ReviewApproved', 'ReviewRequested', 'ReviewApproved', 'ReviewApproved', 'ReviewRequested', 'ReviewApproved', 'MergePR', 'Referenced')",4
faker#103,"('OpenPR', 'ReviewRequested', 'ReviewRejected', 'ReviewComment', 'Revise', 'ReviewComment', 'ReviewApproved', 'ReviewApproved', 'Revise', 'ReviewComment', 'ReviewApproved', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'MergePR', 'Referenced', 'Referenced')",5
faker#1035,"('OpenPR', 'ReviewRequested', 'Revise', 'IssueComment', 'ReviewApproved', 'ReviewRequested', 'ReviewApproved', 'MergePR', 'DeleteBranch', 'Referenced')",6
faker#1042,"('OpenPR', 'ReviewRequested', 'ReviewRequested', 'IssueComment', 'IssueComment', 'ReviewRequested', 'IssueComment', 'Revise', 'Revise', 'IssueComment', 'ReviewApproved', 'IssueComment', 'ReviewRequested', 'ReviewApproved', 'ReviewApproved', 'MergePR', 'DeleteBranch', 'Referenced')",7
faker#1050,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'IssueComment', 'ReviewApproved', 'ReviewApproved', 'ReviewApproved', 'Revise', 'Revise', 'MergePR', 'DeleteBranch', 'Referenced')",8
faker#1055,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'ReviewRequested', 'IssueComment', 'ReviewComment', 'ReviewApproved', 'ReviewRequested', 'Revise', 'ReviewApproved', 'Revise', 'MergePR', 'DeleteBranch', 'Referenced')",9
faker#110,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'ReviewRejected', 'ReviewApproved', 'ReviewApproved', 'MergePR')",10
faker#1102,"('OpenPR', 'ReviewRequested', 'ReviewApproved', 'IssueComment', 'Revise', 'IssueComment', 'Revise', 'ReviewApproved', 'ReviewRequested', 'IssueComment', 'ReviewApproved', 'Revise', 'MergePR', 'Referenced', 'DeleteBranch')",11
faker#1115,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'IssueComment', 'ReviewRequested', 'ReviewRequested', 'ReviewComment', 'Revise', 'ReviewApproved', 'ReviewApproved', 'Revise', 'Revise', 'MergePR', 'DeleteBranch', 'Referenced')",12
faker#1133,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'ReviewComment', 'IssueComment', 'Revise', 'IssueComment', 'ReviewRequested', 'Revise', 'Revise', 'ReviewRejected', 'Revise', 'ReviewComment', 'ReviewRequested', 'Revise', 'Revise', 'ReviewApproved', 'ReviewRequested', 'ReviewApproved', 'ReviewApproved', 'Revise', 'MergePR')",13
