case_id,variant,variant_id
faker#1043,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'Revise', 'IssueComment', 'ReviewComment', 'Revise', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'Revise', 'ClosePR', 'DeleteBranch')",1
faker#1048,"('SubmitCommit', 'OpenPR', 'ReviewComment', 'Revise', 'IssueComment', 'ReviewRejected', 'IssueComment', 'IssueComment', 'ClosePR', 'DeleteBranch')",2
faker#1052,"('OpenPR', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'Revise', 'IssueComment', 'Revise', 'Revise', 'ClosePR', 'DeleteBranch')",3
faker#1090,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'IssueComment', 'ReviewApproved', 'ReviewRequested', 'Revise', 'ClosePR', 'DeleteBranch')",4
faker#1147,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'IssueComment', 'ReviewApproved', 'IssueComment', 'ClosePR', 'DeleteBranch')",5
faker#1180,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'IssueComment', 'Revise', 'ReviewComment', 'Revise', 'ReviewApproved', 'ReviewRequested', 'ReviewRejected', 'ReviewRejected', 'IssueComment', 'ClosePR', 'DeleteBranch')",6
faker#1181,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'Revise', 'Revise', 'IssueComment', 'ReviewApproved', 'ReviewRejected', 'IssueComment', 'Revise', 'ClosePR', 'DeleteBranch')",7
faker#1254,"('SubmitCommit', 'OpenPR', 'IssueComment', 'ReviewComment', 'IssueComment', 'IssueComment', 'Revise', 'Revise', 'ReviewRequested', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'ClosePR')",8
faker#1266,"('SubmitCommit', 'OpenPR', 'IssueComment', 'IssueComment', 'ClosePR')",9
faker#1287,"('OpenPR', 'Revise', 'IssueComment', 'IssueComment', 'ClosePR')",10
faker#1738,"('SubmitCommit', 'OpenPR', 'Revise', 'IssueComment', 'Revise', 'IssueComment', 'ClosePR')",11
faker#188,"('OpenPR', 'ReviewRequested', 'IssueComment', 'Revise', 'Revise', 'ReviewComment', 'ReviewRejected', 'ClosePR', 'DeleteBranch')",12
faker#1886,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'Revise', 'IssueComment', 'IssueComment', 'IssueComment', 'Revise', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'ClosePR', 'DeleteBranch')",13
faker#234,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'IssueComment', 'IssueComment', 'IssueComment', 'ClosePR', 'DeleteBranch')",14
faker#302,"('SubmitCommit', 'OpenPR', 'ClosePR', 'DeleteBranch')",15
faker#310,"('OpenPR', 'ReviewRequested', 'IssueComment', 'ReviewRequested', 'IssueComment', 'IssueComment', 'ReviewRequested', 'IssueComment', 'IssueComment', 'ReviewRequested', 'ReviewRequestRemoved', 'IssueComment', 'Revise', 'ReviewRequested', 'Revise', 'ReviewRequestRemoved', 'Revise', 'ClosePR', 'DeleteBranch')",16
faker#410,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'ReviewApproved', 'ReviewRequested', 'ReviewApproved', 'ClosePR', 'DeleteBranch')",17
faker#44,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'ReviewApproved', 'IssueComment', 'IssueComment', 'IssueComment', 'Revise', 'IssueComment', 'ClosePR', 'DeleteBranch')",18
faker#455,"('SubmitCommit', 'OpenPR', 'Revise', 'IssueComment', 'ClosePR', 'DeleteBranch')",19
faker#551,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'IssueComment', 'IssueComment', 'ClosePR', 'DeleteBranch')",20
faker#72,"('OpenPR', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'Revise', 'ReviewRejected', 'Revise', 'IssueComment', 'ReviewApproved', 'ReviewRequested', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'Revise', 'ReviewApproved', 'ReviewApproved', 'ReviewApproved', 'ClosePR', 'DeleteBranch')",21
