case_id,variant,variant_id
ImageMagick#3164,"('SubmitCommit', 'OpenPR', 'ClosePR')",1
ImageMagick#3177,"('SubmitCommit', 'OpenPR', 'ClosePR')",1
ImageMagick#4103,"('SubmitCommit', 'OpenPR', 'IssueComment', 'IssueComment', 'ClosePR')",2
ImageMagick#4270,"('SubmitCommit', 'OpenPR', 'ClosePR')",1
ImageMagick#4401,"('SubmitCommit', 'OpenPR', 'ClosePR', 'DeleteBranch')",3
ImageMagick#4623,"('SubmitCommit', 'OpenPR', 'ClosePR')",1
ImageMagick#4748,"('OpenPR', 'Revise', 'ClosePR')",4
ImageMagick#5176,"('SubmitCommit', 'OpenPR', 'IssueComment', 'ClosePR')",5
dubbo#10002,"('SubmitCommit', 'OpenPR', 'IssueComment', 'Revise', 'ReviewRequested', 'ClosePR')",6
dubbo#10004,"('SubmitCommit', 'OpenPR', 'IssueComment', 'ClosePR')",5
dubbo#10007,"('SubmitCommit', 'OpenPR', 'IssueComment', 'IssueComment', 'ClosePR')",2
dubbo#10011,"('SubmitCommit', 'OpenPR', 'IssueComment', 'IssueComment', 'ClosePR')",2
dubbo#10013,"('SubmitCommit', 'OpenPR', 'Revise', 'IssueComment', 'IssueComment', 'ClosePR')",7
dubbo#10016,"('SubmitCommit', 'OpenPR', 'ClosePR')",1
dubbo#10038,"('SubmitCommit', 'OpenPR', 'IssueComment', 'IssueComment', 'ClosePR')",2
dubbo#10057,"('SubmitCommit', 'SubmitCommit', 'OpenPR', 'Revise', 'IssueComment', 'IssueComment', 'ClosePR', 'DeleteBranch')",8
dubbo#10062,"('SubmitCommit', 'SubmitCommit', 'OpenPR', 'Revise', 'IssueComment', 'ClosePR', 'DeleteBranch')",9
dubbo#10076,"('SubmitCommit', 'OpenPR', 'IssueComment', 'ClosePR')",5
