case_id,variant,variant_id
ImageMagick#3064,"('SubmitCommit', 'OpenPR', 'MergePR')",1
ImageMagick#3083,"('SubmitCommit', 'OpenPR', 'MergePR')",1
ImageMagick#3087,"('SubmitCommit', 'OpenPR', 'MergePR')",1
ImageMagick#3116,"('SubmitCommit', 'SubmitCommit', 'SubmitCommit', 'OpenPR', 'Revise', 'MergePR')",2
ImageMagick#3134,"('SubmitCommit', 'OpenPR', 'MergePR')",1
ImageMagick#3178,"('SubmitCommit', 'OpenPR', 'MergePR')",1
ImageMagick#3192,"('SubmitCommit', 'OpenPR', 'MergePR')",1
ImageMagick#3193,"('SubmitCommit', 'OpenPR', 'MergePR')",1
ImageMagick#3194,"('SubmitCommit', 'OpenPR', 'MergePR')",1
ImageMagick#3306,"('SubmitCommit', 'OpenPR', 'ReviewApproved', 'MergePR')",3
ImageMagick#3380,"('OpenPR', 'Revise', 'ReviewApproved', 'MergePR', 'DeleteBranch')",4
ImageMagick#3430,"('SubmitCommit', 'OpenPR', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'Revise', 'MergePR')",5
ImageMagick#3548,"('SubmitCommit', 'OpenPR', 'IssueComment', 'IssueComment', 'MergePR')",6
ImageMagick#3566,"('SubmitCommit', 'OpenPR', 'MergePR')",1
ImageMagick#3809,"('SubmitCommit', 'OpenPR', 'IssueComment', 'MergePR', 'DeleteBranch')",7
ImageMagick#3858,"('SubmitCommit', 'OpenPR', 'ReviewComment', 'IssueComment', 'MergePR')",8
ImageMagick#4041,"('SubmitCommit', 'OpenPR', 'MergePR')",1
ImageMagick#4073,"('SubmitCommit', 'OpenPR', 'IssueComment', 'MergePR')",9
ImageMagick#4080,"('SubmitCommit', 'OpenPR', 'IssueComment', 'MergePR')",9
ImageMagick#4091,"('SubmitCommit', 'OpenPR', 'MergePR', 'DeleteBranch')",10
ImageMagick#4092,"('SubmitCommit', 'OpenPR', 'MergePR')",1
ImageMagick#4098,"('SubmitCommit', 'OpenPR', 'IssueComment', 'MergePR')",9
ImageMagick#4186,"('SubmitCommit', 'OpenPR', 'IssueComment', 'MergePR')",9
ImageMagick#4221,"('SubmitCommit', 'OpenPR', 'IssueComment', 'MergePR')",9
ImageMagick#4381,"('SubmitCommit', 'OpenPR', 'IssueComment', 'MergePR')",9
ImageMagick#4428,"('SubmitCommit', 'OpenPR', 'ReviewComment', 'ReviewApproved', 'MergePR')",11
ImageMagick#4430,"('SubmitCommit', 'OpenPR', 'MergePR')",1
ImageMagick#4431,"('SubmitCommit', 'OpenPR', 'MergePR')",1
ImageMagick#4531,"('SubmitCommit', 'OpenPR', 'MergePR')",1
ImageMagick#4653,"('SubmitCommit', 'OpenPR', 'MergePR', 'Referenced')",12
ImageMagick#4665,"('SubmitCommit', 'OpenPR', 'Revise', 'ReviewComment', 'Revise', 'IssueComment', 'IssueComment', 'MergePR')",13
ImageMagick#4701,"('SubmitCommit', 'OpenPR', 'Revise', 'ReviewRejected', 'Revise', 'ReviewRequested', 'ReviewApproved', 'MergePR')",14
ImageMagick#4723,"('SubmitCommit', 'OpenPR', 'ReviewComment', 'Revise', 'ReviewRequested', 'MergePR')",15
ImageMagick#4745,"('SubmitCommit', 'OpenPR', 'MergePR', 'DeleteBranch')",10
ImageMagick#4794,"('SubmitCommit', 'OpenPR', 'Revise', 'MergePR')",16
ImageMagick#4846,"('SubmitCommit', 'OpenPR', 'MergePR')",1
ImageMagick#4914,"('SubmitCommit', 'OpenPR', 'IssueComment', 'IssueComment', 'ReviewApproved', 'MergePR')",17
ImageMagick#4963,"('SubmitCommit', 'OpenPR', 'MergePR', 'Referenced')",12
ImageMagick#4982,"('SubmitCommit', 'OpenPR', 'MergePR', 'DeleteBranch', 'Referenced')",18
ImageMagick#4986,"('SubmitCommit', 'OpenPR', 'MergePR', 'Referenced', 'Referenced')",19
ImageMagick#5034,"('SubmitCommit', 'OpenPR', 'MergePR', 'Referenced', 'Referenced')",19
ImageMagick#5083,"('SubmitCommit', 'OpenPR', 'ReviewComment', 'Revise', 'IssueComment', 'ReviewApproved', 'MergePR')",20
ImageMagick#5084,"('OpenPR', 'IssueComment', 'IssueComment', 'ReviewComment', 'ReviewApproved', 'IssueComment', 'IssueComment', 'IssueComment', 'Revise', 'IssueComment', 'IssueComment', 'MergePR')",21
ImageMagick#5117,"('SubmitCommit', 'OpenPR', 'ReviewApproved', 'MergePR')",3
ImageMagick#5187,"('SubmitCommit', 'OpenPR', 'ReviewApproved', 'MergePR')",3
ImageMagick#5271,"('SubmitCommit', 'OpenPR', 'ReviewApproved', 'MergePR')",3
ImageMagick#5320,"('SubmitCommit', 'OpenPR', 'IssueComment', 'ReviewComment', 'MergePR', 'Referenced')",22
ImageMagick#5452,"('SubmitCommit', 'OpenPR', 'IssueComment', 'Revise', 'IssueComment', 'ReviewApproved', 'IssueComment', 'MergePR', 'Referenced')",23
ImageMagick#5470,"('SubmitCommit', 'OpenPR', 'IssueComment', 'ReviewRequested', 'IssueComment', 'Revise', 'MergePR')",24
ImageMagick#5513,"('SubmitCommit', 'OpenPR', 'MergePR', 'Referenced')",12
ImageMagick#5538,"('SubmitCommit', 'OpenPR', 'MergePR', 'DeleteBranch')",10
ImageMagick#5565,"('SubmitCommit', 'OpenPR', 'MergePR')",1
ImageMagick#5569,"('SubmitCommit', 'OpenPR', 'MergePR')",1
ImageMagick#5713,"('SubmitCommit', 'OpenPR', 'MergePR', 'DeleteBranch', 'Referenced', 'Referenced')",25
ImageMagick#5727,"('SubmitCommit', 'OpenPR', 'MergePR', 'DeleteBranch')",10
ImageMagick#5780,"('SubmitCommit', 'OpenPR', 'MergePR', 'Referenced', 'Referenced')",19
ImageMagick#5787,"('OpenPR', 'ReviewComment', 'ReviewComment', 'ReviewRejected', 'IssueComment', 'Revise', 'ReviewRequested', 'IssueComment', 'ReviewApproved', 'MergePR', 'DeleteBranch')",26
ImageMagick#5788,"('SubmitCommit', 'OpenPR', 'ReviewComment', 'Revise', 'MergePR', 'DeleteBranch')",27
ImageMagick#5789,"('SubmitCommit', 'OpenPR', 'ReviewComment', 'Revise', 'Referenced', 'MergePR', 'DeleteBranch')",28
ImageMagick#5790,"('SubmitCommit', 'OpenPR', 'ReviewApproved', 'MergePR', 'DeleteBranch')",29
ImageMagick#5791,"('SubmitCommit', 'OpenPR', 'ReviewApproved', 'MergePR', 'DeleteBranch')",29
ImageMagick#5792,"('SubmitCommit', 'OpenPR', 'ReviewApproved', 'MergePR', 'DeleteBranch')",29
ImageMagick#5824,"('SubmitCommit', 'OpenPR', 'Revise', 'IssueComment', 'MergePR', 'Referenced', 'DeleteBranch', 'Referenced')",30
ImageMagick#5841,"('SubmitCommit', 'OpenPR', 'MergePR')",1
ImageMagick#5851,"('SubmitCommit', 'OpenPR', 'IssueComment', 'MergePR')",9
ImageMagick#5882,"('SubmitCommit', 'OpenPR', 'MergePR', 'DeleteBranch')",10
dubbo#10003,"('SubmitCommit', 'OpenPR', 'IssueComment', 'IssueComment', 'Revise', 'MergePR', 'DeleteBranch', 'Referenced')",31
dubbo#10006,"('SubmitCommit', 'OpenPR', 'IssueComment', 'ReviewRejected', 'Revise', 'MergePR', 'DeleteBranch')",32
dubbo#10008,"('SubmitCommit', 'OpenPR', 'IssueComment', 'ReviewApproved', 'MergePR', 'DeleteBranch')",33
dubbo#10009,"('SubmitCommit', 'OpenPR', 'MergePR', 'DeleteBranch', 'Referenced')",18
dubbo#10010,"('SubmitCommit', 'OpenPR', 'MergePR', 'DeleteBranch', 'Referenced')",18
dubbo#10015,"('SubmitCommit', 'OpenPR', 'Revise', 'IssueComment', 'ReviewRequested', 'MergePR', 'DeleteBranch')",34
dubbo#10017,"('SubmitCommit', 'OpenPR', 'Revise', 'IssueComment', 'ReviewRequested', 'MergePR', 'DeleteBranch')",34
dubbo#10019,"('SubmitCommit', 'OpenPR', 'IssueComment', 'Revise', 'IssueComment', 'Revise', 'ReviewRejected', 'ReviewApproved', 'ReviewApproved', 'MergePR', 'Referenced')",35
dubbo#10021,"('SubmitCommit', 'OpenPR', 'IssueComment', 'IssueComment', 'Revise', 'IssueComment', 'ReviewApproved', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'Revise', 'IssueComment', 'IssueComment', 'ReviewApproved', 'IssueComment', 'IssueComment', 'ReviewApproved', 'ReviewComment', 'MergePR')",36
dubbo#10022,"('SubmitCommit', 'OpenPR', 'ReviewApproved', 'Revise', 'IssueComment', 'IssueComment', 'MergePR', 'DeleteBranch')",37
dubbo#10023,"('SubmitCommit', 'OpenPR', 'Revise', 'IssueComment', 'ReviewComment', 'ReviewApproved', 'ReviewApproved', 'MergePR', 'DeleteBranch')",38
dubbo#10026,"('SubmitCommit', 'OpenPR', 'IssueComment', 'Revise', 'ReviewApproved', 'Revise', 'MergePR', 'Referenced')",39
dubbo#10029,"('SubmitCommit', 'OpenPR', 'Revise', 'IssueComment', 'ReviewApproved', 'MergePR', 'Referenced')",40
