case_id,variant,variant_id
ImageMagick#5189,"('SubmitCommit', 'OpenPR', 'ReviewApproved', 'MergePR', 'DeleteBranch')",1
dubbo#10025,"('SubmitCommit', 'OpenPR', 'MergePR', 'DeleteBranch', 'Referenced')",2
dubbo#10053,"('SubmitCommit', 'OpenPR', 'MergePR', 'DeleteBranch')",3
dubbo#10064,"('SubmitCommit', 'OpenPR', 'IssueComment', 'ReviewApproved', 'MergePR', 'DeleteBranch')",4
dubbo#10099,"('SubmitCommit', 'OpenPR', 'IssueComment', 'MergePR', 'DeleteBranch')",5
dubbo#10324,"('SubmitCommit', 'OpenPR', 'IssueComment', 'MergePR', 'DeleteBranch')",5
dubbo#10625,"('SubmitCommit', 'OpenPR', 'IssueComment', 'MergePR', 'DeleteBranch')",5
dubbo#10648,"('SubmitCommit', 'OpenPR', 'IssueComment', 'ReviewApproved', 'MergePR', 'DeleteBranch')",4
dubbo#10702,"('SubmitCommit', 'OpenPR', 'IssueComment', 'ReviewApproved', 'MergePR', 'DeleteBranch')",4
dubbo#10707,"('SubmitCommit', 'OpenPR', 'MergePR', 'DeleteBranch', 'Referenced')",2
dubbo#7104,"('SubmitCommit', 'SubmitCommit', 'SubmitCommit', 'SubmitCommit', 'SubmitCommit', 'SubmitCommit', 'OpenPR', 'MergePR', 'DeleteBranch')",6
dubbo#7308,"('SubmitCommit', 'OpenPR', 'IssueComment', 'ReviewApproved', 'MergePR', 'DeleteBranch')",4
dubbo#7387,"('SubmitCommit', 'OpenPR', 'MergePR', 'DeleteBranch')",3
dubbo#7532,"('SubmitCommit', 'OpenPR', 'MergePR', 'DeleteBranch')",3
dubbo#7561,"('SubmitCommit', 'OpenPR', 'MergePR', 'DeleteBranch')",3
dubbo#7569,"('SubmitCommit', 'OpenPR', 'MergePR', 'DeleteBranch')",3
dubbo#7927,"('SubmitCommit', 'OpenPR', 'IssueComment', 'ReviewApproved', 'MergePR', 'DeleteBranch')",4
dubbo#8577,"('SubmitCommit', 'OpenPR', 'MergePR', 'DeleteBranch')",3
dubbo#8662,"('SubmitCommit', 'SubmitCommit', 'SubmitCommit', 'SubmitCommit', 'SubmitCommit', 'SubmitCommit', 'OpenPR', 'Revise', 'IssueComment', 'MergePR', 'DeleteBranch')",7
dubbo#8938,"('SubmitCommit', 'OpenPR', 'MergePR', 'DeleteBranch')",3
dubbo#9103,"('SubmitCommit', 'OpenPR', 'Revise', 'IssueComment', 'MergePR', 'DeleteBranch')",8
dubbo#9113,"('SubmitCommit', 'OpenPR', 'IssueComment', 'MergePR', 'DeleteBranch')",5
dubbo#9506,"('SubmitCommit', 'OpenPR', 'IssueComment', 'MergePR', 'DeleteBranch')",5
dubbo#9727,"('SubmitCommit', 'OpenPR', 'MergePR', 'DeleteBranch')",3
dubbo#9743,"('SubmitCommit', 'SubmitCommit', 'SubmitCommit', 'OpenPR', 'MergePR', 'DeleteBranch')",9
dubbo#9788,"('SubmitCommit', 'OpenPR', 'MergePR', 'DeleteBranch')",3
dubbo#9845,"('SubmitCommit', 'SubmitCommit', 'OpenPR', 'MergePR', 'DeleteBranch')",10
dubbo#9874,"('SubmitCommit', 'OpenPR', 'Revise', 'MergePR', 'DeleteBranch')",11
dubbo#9899,"('SubmitCommit', 'OpenPR', 'IssueComment', 'MergePR', 'DeleteBranch')",5
dubbo#9900,"('SubmitCommit', 'OpenPR', 'IssueComment', 'MergePR', 'DeleteBranch', 'Referenced')",12
dubbo#9902,"('SubmitCommit', 'OpenPR', 'IssueComment', 'MergePR', 'DeleteBranch')",5
gpac#1678,"('SubmitCommit', 'OpenPR', 'IssueComment', 'Revise', 'IssueComment', 'MergePR', 'DeleteBranch')",13
gpac#1709,"('SubmitCommit', 'OpenPR', 'MergePR', 'DeleteBranch')",3
gpac#1712,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'IssueComment', 'MergePR', 'DeleteBranch')",14
gpac#1744,"('SubmitCommit', 'OpenPR', 'Revise', 'ReviewRequested', 'IssueComment', 'MergePR', 'DeleteBranch')",15
gpac#1824,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'MergePR')",16
gpac#1836,"('SubmitCommit', 'OpenPR', 'MergePR')",17
gpac#1837,"('SubmitCommit', 'OpenPR', 'MergePR')",17
gpac#1848,"('SubmitCommit', 'OpenPR', 'MergePR')",17
gpac#1915,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'ReviewComment', 'IssueComment', 'Revise', 'IssueComment', 'IssueComment', 'MergePR', 'DeleteBranch')",18
gpac#1917,"('SubmitCommit', 'OpenPR', 'MergePR', 'DeleteBranch')",3
gpac#1918,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'ReviewComment', 'IssueComment', 'Revise', 'MergePR', 'DeleteBranch')",19
gpac#1926,"('OpenPR', 'ReviewRequested', 'Revise', 'IssueComment', 'MergePR')",20
gpac#1953,"('SubmitCommit', 'OpenPR', 'MergePR')",17
gpac#2145,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'IssueComment', 'MergePR', 'DeleteBranch')",14
gpac#2257,"('SubmitCommit', 'OpenPR', 'Revise', 'MergePR')",21
gpac#2264,"('SubmitCommit', 'SubmitCommit', 'SubmitCommit', 'SubmitCommit', 'SubmitCommit', 'SubmitCommit', 'OpenPR', 'MergePR')",22
gpac#2300,"('OpenPR', 'Revise', 'ReviewRequested', 'IssueComment', 'MergePR', 'DeleteBranch')",23
gpac#2335,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'MergePR', 'DeleteBranch')",24
gpac#2336,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'MergePR', 'DeleteBranch')",24
hadoop#2843,"('SubmitCommit', 'OpenPR', 'IssueComment', 'IssueComment', 'ReviewApproved', 'MergePR', 'DeleteBranch')",25
hadoop#2891,"('SubmitCommit', 'OpenPR', 'IssueComment', 'ReviewApproved', 'MergePR', 'DeleteBranch')",4
hadoop#2900,"('SubmitCommit', 'OpenPR', 'MergePR')",17
hadoop#2974,"('SubmitCommit', 'OpenPR', 'IssueComment', 'IssueComment', 'IssueComment', 'ReviewRejected', 'Revise', 'ReviewComment', 'ReviewRequested', 'ReviewRequestRemoved', 'IssueComment', 'IssueComment', 'Revise', 'IssueComment', 'ReviewRequested', 'ReviewApproved', 'IssueComment', 'Revise', 'IssueComment', 'MergePR', 'DeleteBranch')",26
hadoop#2997,"('SubmitCommit', 'OpenPR', 'IssueComment', 'ReviewApproved', 'IssueComment', 'MergePR', 'DeleteBranch')",27
hadoop#3003,"('SubmitCommit', 'OpenPR', 'IssueComment', 'ReviewApproved', 'IssueComment', 'MergePR', 'DeleteBranch')",27
