alignment,cost,visited_states,queued_states,traversed_arcs,lp_solved,fitness,bwc,case_id,scene
"[('>>', None), ('>>', None), ('SubmitCommit', 'SubmitCommit'), ('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None), ('>>', None)]",12,16,44,44,2,1.0,50011,ImageMagick#3164,fork_close
"[('>>', None), ('>>', None), ('SubmitCommit', 'SubmitCommit'), ('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None), ('>>', None)]",12,16,44,44,2,1.0,50011,ImageMagick#3177,fork_close
"[('>>', None), ('>>', None), ('SubmitCommit', 'SubmitCommit'), ('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('>>', 'Revise'), ('>>', None), ('IssueComment', 'IssueComment'), ('>>', None), ('IssueComment', 'IssueComment'), ('>>', None), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None), ('>>', None)]",10015,38,100,118,35,0.8571428571428572,70011,ImageMagick#4103,fork_close
"[('>>', None), ('>>', None), ('SubmitCommit', 'SubmitCommit'), ('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None), ('>>', None)]",12,16,44,44,2,1.0,50011,ImageMagick#4270,fork_close
"[('>>', None), ('>>', None), ('SubmitCommit', 'SubmitCommit'), ('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch'), ('>>', None)]",11,16,46,46,3,1.0,60011,ImageMagick#4401,fork_close
"[('>>', None), ('>>', None), ('SubmitCommit', 'SubmitCommit'), ('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None), ('>>', None)]",12,16,44,44,2,1.0,50011,ImageMagick#4623,fork_close
"[('>>', None), ('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('Revise', '>>'), ('ClosePR', 'ClosePR'), ('>>', None), ('>>', None)]",10011,14,37,37,21,0.8,50011,ImageMagick#4748,fork_close
"[('>>', None), ('>>', None), ('SubmitCommit', 'SubmitCommit'), ('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('IssueComment', '>>'), ('ClosePR', 'ClosePR'), ('>>', None), ('>>', None)]",10012,17,45,45,26,0.8333333333333334,60011,ImageMagick#5176,fork_close
"[('>>', None), ('>>', None), ('SubmitCommit', 'SubmitCommit'), ('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('IssueComment', 'IssueComment'), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('>>', None), ('ReviewRequested', '>>'), ('ClosePR', 'ClosePR'), ('>>', None), ('>>', None)]",10014,27,82,84,55,0.875,80011,dubbo#10002,fork_close
"[('>>', None), ('>>', None), ('SubmitCommit', 'SubmitCommit'), ('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('>>', None), ('IssueComment', '>>'), ('ClosePR', 'ClosePR'), ('>>', None), ('>>', None)]",10012,17,45,45,26,0.8333333333333334,60011,dubbo#10004,fork_close
