alignment,cost,visited_states,queued_states,traversed_arcs,lp_solved,fitness,bwc,case_id,scene
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('IssueComment', '>>'), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",10002,8,25,25,10,0.8571428571428572,70004,dubbo#10143,unfork_close
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,6,20,20,1,1.0,60004,dubbo#10285,unfork_close
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('IssueComment', '>>'), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",10002,8,25,25,10,0.8571428571428572,70004,dubbo#7939,unfork_close
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('>>', 'Revise'), ('>>', None), ('>>', None), ('IssueComment', 'IssueComment'), ('>>', None), ('IssueComment', 'IssueComment'), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",10006,20,47,58,15,0.875,80004,hadoop#3002,unfork_close
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('ReviewRequested', 'ReviewRequested'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",3,7,22,22,3,1.0,60004,hadoop#3432,unfork_close
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,6,20,20,2,1.0,60004,hadoop#3626,unfork_close
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('>>', 'Revise'), ('>>', None), ('>>', None), ('IssueComment', 'IssueComment'), ('>>', None), ('IssueComment', 'IssueComment'), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",10006,20,47,58,15,0.875,80004,hadoop#4475,unfork_close
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('>>', 'Revise'), ('>>', None), ('>>', None), ('IssueComment', 'IssueComment'), ('>>', None), ('IssueComment', 'IssueComment'), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",10006,20,47,58,15,0.875,80004,hadoop#4535,unfork_close
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('>>', 'Revise'), ('>>', None), ('>>', None), ('IssueComment', 'IssueComment'), ('>>', None), ('IssueComment', 'IssueComment'), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",10006,20,47,58,15,0.875,80004,hadoop#4970,unfork_close
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('IssueComment', '>>'), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",10002,8,25,25,10,0.8571428571428572,70004,hadoop#5042,unfork_close
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",3,6,18,18,1,1.0,50004,hadoop#5108,unfork_close
