case:concept:name,concept:name,time:timestamp,people,scene
627,SubmitCommit,2021-01-10 16:32:20,ddobrin,fork_close
627,OpenPR,2021-01-10 16:33:39,ddobrin,fork_close
627,ClosePR,2021-01-11 10:02:34,olegz,fork_close
637,SubmitCommit,2021-01-26 05:18:33,timmyowl,fork_merge
637,OpenPR,2021-01-26 05:18:49,timmyowl,fork_merge
637,IssueComment,2021-01-26 05:18:51,pivotal-issuemaster,fork_merge
637,MergePR,2021-01-26 07:13:23,olegz,fork_merge
646,SubmitCommit,2021-02-09 19:20:12,dzou,fork_close
646,OpenPR,2021-02-09 19:23:12,dzou,fork_close
646,ReviewApproved,2021-02-09 20:13:44,meltsufin,fork_close
646,IssueComment,2021-02-10 14:22:47,olegz,fork_close
646,IssueComment,2021-02-10 23:03:14,dzou,fork_close
646,IssueComment,2021-02-18 18:37:37,meltsufin,fork_close
646,IssueComment,2021-02-24 14:51:47,olegz,fork_close
646,ClosePR,2021-03-02 23:47:03,dzou,fork_close
655,SubmitCommit,2021-02-21 17:35:08,apoupardsmartb,fork_close
655,SubmitCommit,2021-02-21 17:35:15,apoupardsmartb,fork_close
655,SubmitCommit,2021-02-23 00:04:27,apoupardsmartb,fork_close
655,OpenPR,2021-02-23 22:34:50,apoupard,fork_close
655,IssueComment,2021-02-23 22:34:52,pivotal-issuemaster,fork_close
655,IssueComment,2021-02-23 22:35:38,pivotal-issuemaster,fork_close
655,IssueComment,2021-02-24 07:53:48,olegz,fork_close
655,ReviewRequested,2021-02-24 07:54:14,olegz,fork_close
655,IssueComment,2021-02-24 07:56:17,olegz,fork_close
655,IssueComment,2021-02-24 09:15:25,apoupard,fork_close
655,IssueComment,2021-02-24 11:58:42,olegz,fork_close
655,IssueComment,2021-02-24 12:00:12,olegz,fork_close
655,ReviewComment,2021-02-24 13:38:30,olegz,fork_close
655,ReviewComment,2021-02-24 13:44:30,olegz,fork_close
655,IssueComment,2021-02-24 14:00:09,olegz,fork_close
655,Revise,2021-02-24 18:18:13,apoupardsmartb,fork_close
655,IssueComment,2021-02-24 18:27:17,apoupardsmartb,fork_close
655,IssueComment,2021-02-25 08:49:41,apoupard,fork_close
655,ReviewRequested,2021-03-01 09:12:33,apoupard,fork_close
655,IssueComment,2021-03-01 09:36:58,olegz,fork_close
655,ClosePR,2021-03-02 07:56:27,olegz,fork_close
656,SubmitCommit,2021-02-23 23:21:06,pguti778,fork_close
656,OpenPR,2021-02-24 14:02:11,pguti778,fork_close
656,IssueComment,2021-02-24 14:02:13,pivotal-issuemaster,fork_close
656,ClosePR,2021-02-24 14:05:40,olegz,fork_close
658,SubmitCommit,2021-03-02 11:52:25,KSVarun,fork_merge
658,OpenPR,2021-03-02 11:54:17,KSVarun,fork_merge
658,IssueComment,2021-03-03 02:58:37,KSVarun,fork_merge
658,IssueComment,2021-03-03 04:43:49,olegz,fork_merge
658,MergePR,2021-03-03 05:40:11,olegz,fork_merge
659,SubmitCommit,2021-03-03 01:09:41,pguti778,fork_merge
659,OpenPR,2021-03-03 01:09:54,pguti778,fork_merge
659,IssueComment,2021-03-03 01:09:57,pivotal-issuemaster,fork_merge
659,IssueComment,2021-03-03 05:43:04,olegz,fork_merge
659,IssueComment,2021-03-03 15:00:59,pivotal-issuemaster,fork_merge
659,IssueComment,2021-03-03 15:16:40,pguti778,fork_merge
659,MergePR,2021-03-03 15:17:30,olegz,fork_merge
670,SubmitCommit,2021-03-17 18:43:00,sobychacko,fork_close
670,OpenPR,2021-03-17 18:44:54,sobychacko,fork_close
670,ClosePR,2021-03-18 18:59:33,olegz,fork_close
683,SubmitCommit,2021-04-09 16:37:35,tdanylchuk,fork_merge
683,OpenPR,2021-04-09 16:48:52,tdanylchuk,fork_merge
683,MergePR,2021-04-10 05:57:20,olegz,fork_merge
683,DeleteBranch,2021-04-10 15:19:26,tdanylchuk,fork_merge
687,SubmitCommit,2021-04-14 15:44:13,meltsufin,fork_merge
687,OpenPR,2021-04-14 15:45:16,meltsufin,fork_merge
687,ReviewRequested,2021-04-14 15:45:28,meltsufin,fork_merge
687,MergePR,2021-04-14 17:41:12,olegz,fork_merge
687,DeleteBranch,2021-04-14 18:58:20,meltsufin,fork_merge
690,SubmitCommit,2021-04-22 23:57:50,sobychacko,fork_merge
690,OpenPR,2021-04-23 00:00:14,sobychacko,fork_merge
690,MergePR,2021-04-26 13:24:22,olegz,fork_merge
693,SubmitCommit,2021-04-30 22:09:37,dzou,fork_close
693,SubmitCommit,2021-04-30 22:11:19,dzou,fork_close
693,SubmitCommit,2021-04-30 22:14:01,dzou,fork_close
693,SubmitCommit,2021-04-30 22:18:59,dzou,fork_close
693,OpenPR,2021-04-30 22:27:11,dzou,fork_close
